id,repo,body,url,issue_url,issue_title,created_at,user
2315592085,whatwg/webidl,"> Just FYI, we need to figure out what to do with: >  > * http://www.w3.org/TR/WebIDL/ -> Redirect",https://github.com/whatwg/webidl/issues/1016#issuecomment-2315592085,https://github.com/whatwg/webidl/issues/1016,Move to WHATWG,2024-08-28T14:53:32Z,ben221199
2315428718,w3ctag/design-reviews,cc @ekovac @samuelgoto,https://github.com/w3ctag/design-reviews/issues/986#issuecomment-2315428718,https://github.com/w3ctag/design-reviews/issues/986,Early Design Review: Lightweight FedCM,2024-08-28T14:08:38Z,johannhof
2315325422,whatwg/html,I'd like to revive this topic and attempt to move forward with the proposal despite the high UseCoun,https://github.com/whatwg/html/issues/6235#issuecomment-2315325422,https://github.com/whatwg/html/issues/6235,"Escape ""<"" and "">"" in attributes",2024-08-28T13:29:58Z,securityMB
2315292362,whatwg/html,> Are there tests covering this?  There is also wpt/html/canvas/element/manual/imagebitmap/createI,https://github.com/whatwg/html/issues/10578#issuecomment-2315292362,https://github.com/whatwg/html/issues/10578,"createImageBitmap: Clarify treatment of colorSpaceConversion:""none"" ImageBitmaps",2024-08-28T13:15:59Z,ccameron-chromium
2315055296,whatwg/dom,"Because in https://dom.spec.whatwg.org/#create-a-dependent-abort-signal, a new dependent signal dire",https://github.com/whatwg/dom/pull/1295#issuecomment-2315055296,https://github.com/whatwg/dom/pull/1295,Mark dependent abort signals as aborted before firing events,2024-08-28T11:26:45Z,saschanaz
2314952559,whatwg/dom,"I just came across this after looking into the AbortSignal algorithms while working on Observables, ",https://github.com/whatwg/dom/pull/1295#issuecomment-2314952559,https://github.com/whatwg/dom/pull/1295,Mark dependent abort signals as aborted before firing events,2024-08-28T10:37:04Z,domfarolino
2314824070,webkit/standards-positions,"It seems the motivation here in part is security, but you cannot prevent code running in your proces",https://github.com/WebKit/standards-positions/issues/389#issuecomment-2314824070,https://github.com/WebKit/standards-positions/issues/389,Realms Initialization Control,2024-08-28T09:35:35Z,annevk
2314579162,w3ctag/design-reviews,Hi - some pieces of feedback from our TAG breakout this morning where we reviewed this:    It seem,https://github.com/w3ctag/design-reviews/issues/954#issuecomment-2314579162,https://github.com/w3ctag/design-reviews/issues/954,Element Capture,2024-08-28T07:49:29Z,torgo
2314482678,whatwg/webidl,I'd put the list passed to MakeBasicObject in a variable and then conditionally append [[ErrorData]],https://github.com/whatwg/webidl/pull/1421#issuecomment-2314482678,https://github.com/whatwg/webidl/pull/1421,add [[ErrorData]] slot to DOMExceptions,2024-08-28T07:04:23Z,annevk
2314481053,whatwg/html,@alexpetros thanks a lot for your initiative!  Your current document currently has focus on the tr,https://github.com/whatwg/html/issues/3577#issuecomment-2314481053,https://github.com/whatwg/html/issues/3577,"HTML forms do not support the PUT, PATCH and DELETE methods",2024-08-28T07:03:33Z,Delapouite
2314337583,whatwg/webidl,"hmm - looking at the MakeBasicObject call, that seems like it's for all platform objects, not just D",https://github.com/whatwg/webidl/pull/1421#issuecomment-2314337583,https://github.com/whatwg/webidl/pull/1421,add [[ErrorData]] slot to DOMExceptions,2024-08-28T05:19:08Z,ljharb
2314127966,w3c/pointerevents,"Ah, but `pointerrawupdate` does not change the order of pointer boundary events vs. pointer capture ",https://github.com/w3c/pointerevents/issues/511#issuecomment-2314127966,https://github.com/w3c/pointerevents/issues/511,Shouldn't dispatch `gotpointercapture` and `lostpointercapture` events if `pointerrawupdate` event is fired without the following `pointermove`?,2024-08-28T03:28:47Z,masayuki-nakano
2313981235,whatwg/html,"> VT aside, is showing unstyled content that may look extremely broken after 5s better? Hard to tell",https://github.com/whatwg/html/issues/10513#issuecomment-2313981235,https://github.com/whatwg/html/issues/10513,Consider adding `view-transition` as a token for `blocking`,2024-08-28T02:36:41Z,nickcoury
2313886790,whatwg/webidl,"ah, gotcha. ok cool, i'll make those changes to step 4, thanks!",https://github.com/whatwg/webidl/pull/1421#issuecomment-2313886790,https://github.com/whatwg/webidl/pull/1421,add [[ErrorData]] slot to DOMExceptions,2024-08-28T01:06:47Z,ljharb
2313871316,whatwg/webidl,> How would you suggest I modify step 4?  By adding [[ErrorData]] to the argument list of MakeBasi,https://github.com/whatwg/webidl/pull/1421#issuecomment-2313871316,https://github.com/whatwg/webidl/pull/1421,add [[ErrorData]] slot to DOMExceptions,2024-08-28T00:47:40Z,domenic
2313828935,whatwg/webidl,"How would you suggest I modify step 4?  The relationship to #732, as I understand it (but may inde",https://github.com/whatwg/webidl/pull/1421#issuecomment-2313828935,https://github.com/whatwg/webidl/pull/1421,add [[ErrorData]] slot to DOMExceptions,2024-08-28T00:31:41Z,ljharb
